,N submissions (2020),N made (2020),N assayed (2020),N crystallised (2020),Mdn shipment date (2020),Mdn N words (2020),Gmean IC50 (2020),Min IC50 (2020),made-over-submitted % (2020),crystal-over-made % (2020),N IC50 ≤ 50 µM (2020),N IC50 ≤ 20 µM (2020),N IC50 ≤ 1 µM (2020),N IC50 ≤ 0.1 µM (2020),sub50-over-assayed % (2020)
Enamine Chemistry Team,1,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Atul Mahajan,1,0,0,0,,19,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Gabriel Navarrete Vazquez,1,0,0,0,,72,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Chellam Gayathri Subash,1,0,0,0,,83,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Christopher Elliot Goe,1,0,0,0,,122,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Alejandra Hernandez Sosa,1,0,0,0,,115,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jeffrey Richards,1,0,0,0,,17,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Malleswara Rao Kuram,1,0,0,0,,5,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Simone Bigi,1,0,0,0,,227,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Viromics githubsubmission,1,0,0,0,,3102,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Tim Dudgeon,1,0,0,0,,101,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Hyun Bae,1,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Javier University of Alcalá,1,0,0,0,,79,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sam Rowe,1,0,0,0,,38,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Hans Pfalzgraf,1,0,0,0,,62,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Andrew Hutchin,1,0,0,0,,113,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ameya Bendre,1,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Neal Hayhurst,1,0,0,0,,98,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jame Cole,1,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mateo Gil Vizcaíno,1,0,0,0,,20,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Catarina Esteves,1,0,0,0,,227,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Shreyas Srinivasan,1,0,0,0,,19,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Hira Khalid,1,0,0,0,,55,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mike Waring,1,0,0,0,,36,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vlad UCB,1,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mark UCB,1,0,0,0,,8,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Naasson Mbenza Mbambi,1,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Tanush Goel,1,0,0,0,,41,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Adrian Accurso,1,0,0,0,,57,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Matt PostEra,1,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Amedeo Caflisch,1,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mike Renier,1,0,0,0,,153,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Prashant Kharkar,1,0,0,0,,93,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Milorad Zjalic,1,0,0,0,,31,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mallareddy Komandla,1,0,0,0,,27,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mark Honey,1,0,0,0,,28,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Albert Antolin,1,0,0,0,,187,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Raymond Li,1,0,0,0,,21,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Hai Deng,1,0,0,0,,107,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Stefano Piana Agostinetti,1,0,0,0,,184,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bowen Tang,1,0,0,0,,15,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Gabriel Brandt,1,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jokin Carillo Arregui,1,0,0,0,,8,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mher Matevosyan,1,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Yue Ying,1,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Christian Gampe,1,0,0,0,,206,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mario Estrada Olivera,1,0,0,0,,18,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
